Gene	t1_gene_score	t1_SIEG_score
LOC100144603	0.183984592	0.360952748
DDN	0	-0.43962773
ERC2	0	-0.43962773
LOC440925	0	-0.43962773
GRIA3	-0.048822454	-0.649585306
C22orf26	0	-0.43962773
KCNA6	-0.033275965	-0.591327243
C3orf55	0	-0.43962773
HOXD11	0.009091414	-0.394876982
NTF3	0	-0.43962773
WFDC3	0	-0.43962773
TMEM232	0.742998658	2.73585272
POPDC3	0	-0.43962773
MSMB	0.394938774	1.252390058
IL10	-0.248043096	-1.496839911
CHRNA1	-0.048822454	-0.649585306
ARHGEF33	0	-0.43962773
RHCE	0	-0.43962773
FAM132A	0	-0.43962773
PRSS35	-0.045421888	-0.638385838
LOC100130933	-0.140185001	-1.056935689
FPR2	-0.231487265	-1.422938387
MNX1	-0.025023464	-0.547239399
C1orf220	0.549171627	1.903642486
LOC646999	0	-0.43962773
KCNRG	0	-0.43962773
CELF5	0	-0.43962773
KLRG2	0.003933694	-0.4232753
TMED6	-0.075699181	-0.770812445
ERN2	-0.116936107	-0.950976072
HSP90B3P	0.075371474	-0.125977701
CTSG	-0.046085019	-0.640380181
LOC339535	0	-0.43962773
GRID2IP	0.022075493	-0.356052673
TIGD4	0.021807228	-0.347239632
HHLA2	-0.097878075	-0.875782978
BMP3	-0.018318724	-0.524340638
GDF6	-0.022196901	-0.534084375
C17orf82	0	-0.43962773
BEST4	0	-0.43962773
C1orf114	0	-0.43962773
KCNA5	-0.084710257	-0.808607387
HRASLS2	0	-0.43962773
TSSK4	0.286463833	0.799498088
NR6A1	0	-0.43962773
RNASE2	-0.125489572	-0.973561036
HTR1D	-0.073535539	-0.769894787
HECW1	0	-0.43962773
FAM178B	0	-0.43962773
TRPM8	0.010324331	-0.396685173
C4orf38	0.079924022	-0.098283416
LOC148709	0	-0.43962773
CWH43	-0.019201033	-0.518611835
ERMN	0	-0.43962773
PTGDR	-0.155979434	-1.103951295
KCNK7	-0.152576941	-1.094868791
INA	-0.052670516	-0.665788224
C8orf85	0	-0.43962773
FLJ37201	0	-0.43962773
FBXO24	0	-0.43962773
PTPRN	-0.032710687	-0.582908406
NRG2	-0.017917045	-0.519930683
GRIK2	-0.075158637	-0.762842232
C9orf43	0	-0.43962773
CHGA	-0.055042537	-0.680737164
ZNF454	-0.042296533	-0.621521036
MURC	-0.069395397	-0.741224902
SERPINB3	-0.13574653	-1.030742495
KRT4	-0.014704139	-0.508189274
PAH	-0.179257783	-1.21429909
C5orf20	-0.277882826	-1.629891931
TTTY15	0.231070909	0.527003608
KIF19	0	-0.43962773
MLC1	0	-0.43962773
C19orf71	0	-0.43962773
ATP6V0A4	0.23112442	0.54814836
FLJ10213	0.708998391	2.596135864
LOC441046	0	-0.43962773
MED12L	0.023491971	-0.328991622
PSORS1C1	0	-0.43962773
XCL1	-0.113317296	-0.926407708
CYP11A1	0	-0.43962773
IL1A	-0.121973987	-0.966001345
FABP6	0	-0.43962773
GGN	0	-0.43962773
GHRLOS	-0.03707379	-0.599060992
SLCO5A1	0	-0.43962773
FIGF	-0.022278863	-0.536645202
FSCN2	-0.075636511	-0.772703849
DLX1	0	-0.43962773
XIRP1	-0.097385968	-0.864667939
KCNQ3	0.080917183	-0.090581309
UCA1	0.027499282	-0.329622454
IGSF22	0	-0.43962773
DIO1	-0.075796293	-0.756786326
MTMR8	0	-0.43962773
IVL	-0.123992759	-0.980417245
LOC338651	0	-0.43962773
RSPO4	0	-0.43962773
CDH16	-0.017646861	-0.524823832
ACSBG1	0	-0.43962773
PKD1L1	0	-0.43962773
LRRC66	-0.037299171	-0.6050216
TRPA1	0	-0.43962773
SOX10	-0.018596874	-0.520623319
INTS4L2	0	-0.43962773
GPR18	-0.283306299	-1.651772784
CYorf15B	0.268242617	0.695950842
SLC39A5	-0.112910913	-0.935676546
GAP43	0	-0.43962773
LRRIQ1	0.0416529	-0.254713175
LOC144486	0	-0.43962773
INHA	-0.025829405	-0.549542124
GABRB2	-0.034563797	-0.603249639
IRX6	0	-0.43962773
KIAA1045	0	-0.43962773
P2RY12	-0.054682463	-0.670362331
BHMT	-0.130964249	-1.014485625
ABHD1	0.225023568	0.517610838
MESP2	0	-0.43962773
FAM157A	0.121632029	0.077200547
ATP2B2	-0.131051674	-1.008095051
GFRA3	0	-0.43962773
STRC	0	-0.43962773
VN1R1	0	-0.43962773
PCDHGB3	0.246458996	0.629836338
PCDHA12	0	-0.43962773
HESX1	0	-0.43962773
ATP8A2	0	-0.43962773
MORN3	0	-0.43962773
C14orf50	0	-0.43962773
CCDC65	0.000266993	-0.43605987
MYO3B	0	-0.43962773
RAET1E	-0.089974361	-0.827630263
RNF175	0	-0.43962773
ECEL1	0	-0.43962773
FOXD4	0	-0.43962773
APOB	-0.27224875	-1.610310894
FOXC2	-0.033166919	-0.581017871
SYN2	0	-0.43962773
ZNF385D	0	-0.43962773
LGALS7	-0.077735009	-0.786096441
FAM181B	0.100241175	-0.007916054
ZCCHC18	0.035668155	-0.303993715
PRND	-0.038094186	-0.603519298
MGC3771	0.422433058	1.364117071
PHACTR3	0	-0.43962773
SCN7A	-0.070767096	-0.745598724
SERPINB2	-0.111980768	-0.928774455
TMEM132E	-0.047556734	-0.648821124
CYP4F22	0	-0.43962773
CCDC144A	0	-0.43962773
HRNR	0	-0.43962773
KCNAB3	-0.061225513	-0.711838984
CTRL	-0.031607247	-0.579137623
ELAVL2	0	-0.43962773
PRSS21	0	-0.43962773
GPR55	-0.181992302	-1.21806841
RGS20	0.051926164	-0.218138623
MGC16142	0	-0.43962773
FLT3	-0.087735046	-0.810042511
IGF2BP1	0	-0.43962773
EYS	0	-0.43962773
TMEM132B	0	-0.43962773
SHC3	0	-0.43962773
C9orf163	0	-0.43962773
HS3ST3B1	0	-0.43962773
ORM1	-0.155263467	-1.099737959
C9orf109	0	-0.43962773
ACSL6	0	-0.43962773
KY	-0.048822454	-0.649585306
NPC1L1	-0.106665825	-0.902927977
DGCR9	0.022145809	-0.346014577
CAMK1G	0	-0.43962773
TDRD9	0	-0.43962773
RNF183	0	-0.43962773
ANXA13	-0.110820263	-0.926157521
LOC253724	0	-0.43962773
CN5H6.4	0	-0.43962773
FGFBP2	0	-0.43962773
RGS6	0	-0.43962773
LOC100133985	0	-0.43962773
CHRNA10	-0.061710393	-0.705008994
ASGR2	-0.266765849	-1.581927273
VWDE	0	-0.43962773
MT1A	0	-0.43962773
C8orf31	0	-0.43962773
PDZRN4	-0.040297793	-0.615931261
NCRNA00107	0.132282422	0.119643994
ZNF829	0.233898248	0.559840215
SLC26A10	0	-0.43962773
LCN10	-0.100134045	-0.876420444
GJA3	0	-0.43962773
TGM3	-0.015930092	-0.507416609
CD1A	-0.094366811	-0.843381661
HRASLS	0	-0.43962773
BTLA	-0.302817394	-1.734265531
C3orf36	-0.047510866	-0.652950837
PATL2	-0.100248101	-0.870207996
SPEF1	0.045045948	-0.248134669
IHH	-0.087634046	-0.828266341
PACRG	0.620711955	2.205868653
TNFSF11	0	-0.43962773
GRM8	-0.054835681	-0.675503422
PPP4R4	0	-0.43962773
IQUB	0.59443821	2.095431017
ANKRD45	0	-0.43962773
MGC42105	0	-0.43962773
HAMP	0.116978162	0.063770964
OTOA	-0.035066621	-0.586124509
C6orf122	0	-0.43962773
CPEB1	0.231104427	0.548613137
PDZD7	0	-0.43962773
DRP2	0	-0.43962773
AMBP	-0.247623183	-1.503755037
LRRC55	-0.03707379	-0.599060992
CA4	-0.015688992	-0.506390633
ELP2P	0	-0.43962773
AVPR2	-0.020249649	-0.532857494
WNT10B	0	-0.43962773
DHRS4L1	0	-0.43962773
VIL1	-0.101007094	-0.880056367
JSRP1	-0.055089854	-0.677509232
PYGO1	0	-0.43962773
LOC255167	0	-0.43962773
MUC12	-0.055785393	-0.685102709
VAX2	0.159389946	0.241989592
WBSCR26	0	-0.43962773
FCRL6	-0.256498048	-1.533708656
C4orf39	0.074466299	-0.120419471
RSPH4A	-0.004469292	-0.458310396
CR2	-0.134596025	-1.012156944
CRABP1	0	-0.43962773
KCNH8	0	-0.43962773
PNPLA3	0	-0.43962773
TM6SF2	-0.112969994	-0.937172285
C10orf128	-0.213028469	-1.350001448
PCDP1	-0.023565486	-0.538787185
C1orf228	0.026503392	-0.323278267
EXTL1	-0.05962999	-0.700128876
FUT7	-0.251979221	-1.520187942
OTUD7A	0	-0.43962773
GALNT13	0	-0.43962773
CCNB3	0.104977492	0.009778082
PRKG2	0	-0.43962773
THSD7B	0	-0.43962773
SLC17A7	0	-0.43962773
TMEM40	-0.064540348	-0.723197578
LOC149134	0	-0.43962773
B3GALT2	0	-0.43962773
LOC100128788	-0.018849941	-0.517915273
MGC45800	0	-0.43962773
KCNF1	0	-0.43962773
TECTA	0.276777415	0.738077615
MEFV	-0.238678068	-1.454489592
C8orf80	-0.11062908	-0.906745733
KIF6	0	-0.43962773
LOC284232	0	-0.43962773
AURKC	0	-0.43962773
SCN2B	-0.074921089	-0.764832909
AGAP7	0.020437814	-0.356358394
C2CD4D	0	-0.43962773
ZCWPW2	0.786201075	2.914214774
TCP10L	0	-0.43962773
FAM131C	0	-0.43962773
REM2	0	-0.43962773
NLGN4Y	0.268242617	0.695950842
RDH12	0	-0.43962773
NKPD1	-0.035212307	-0.596515959
CCDC13	0	-0.43962773
PRAP1	-0.145084103	-1.065302196
KCNS1	0	-0.43962773
DLGAP3	0	-0.43962773
KIAA1984	0	-0.43962773
MGAM	-0.081529628	-0.796731802
ANO2	-0.007813144	-0.475593311
KLHL32	0.194794713	0.365664421
DLEC1	0	-0.43962773
FAM90A1	0	-0.43962773
DOC2B	0	-0.43962773
CACNA1I	-0.053237673	-0.669586376
IL13RA2	-0.046191998	-0.635247725
BCMO1	-0.06417426	-0.721791593
CCDC17	-0.003326462	-0.453533105
CCDC148	0.020624402	-0.348287052
LOC644165	-0.021678048	-0.532460671
FAM19A2	0	-0.43962773
LOC728819	0	-0.43962773
NR1I3	-0.247365203	-1.502751285
LOC84989	0	-0.43962773
DIRAS2	0.087325764	-0.078222254
POU3F1	-0.022861602	-0.543710888
KIAA0125	-0.218872839	-1.371789718
BRSK2	0.191220936	0.371543734
PXDNL	0	-0.43962773
TAS1R3	0	-0.43962773
SLC30A2	0	-0.43962773
ASPA	0.645622639	2.306011052
TNFRSF9	-0.223225063	-1.393676905
C10orf55	-0.064517748	-0.716320677
DDX11L2	0	-0.43962773
SH3D20	-0.028986568	-0.566227477
SH2D5	0	-0.43962773
DCST2	0.213099787	0.473353175
LBX2	-0.011795779	-0.487069063
FZD9	0.029338603	-0.313368886
CYP2C18	-0.142403148	-1.054766535
KLK1	-0.027362905	-0.562847728
TNNI2	0	-0.43962773
BMX	-0.051347738	-0.673068773
FAM186B	0	-0.43962773
A2ML1	-0.077852113	-0.782675512
PDE1C	0.072751476	-0.120682877
SLC26A7	0.006172112	-0.411473734
SLITRK5	0	-0.43962773
IL18RAP	-0.29175335	-1.689444097
C10orf108	-0.109926602	-0.926733416
C17orf104	0	-0.43962773
SPDYA	0.232202018	0.552063838
C1QL3	0	-0.43962773
CXCR5	-0.254107515	-1.527277151
FAM43B	0	-0.43962773
KLHL30	0	-0.43962773
TBC1D3H	0	-0.43962773
TRAT1	-0.212171051	-1.343331384
DNAH9	0	-0.43962773
ABCD2	-0.154864789	-1.105845439
PAR5	1.222606461	4.81507841
HOXA11AS	-0.018358727	-0.515301664
NOXO1	-0.022800769	-0.535812918
STMN2	0	-0.43962773
SYCE1L	0	-0.43962773
CDH17	-0.141750834	-1.059641156
SEC14L5	0	-0.43962773
PCDHA11	0	-0.43962773
STX19	-0.002910685	-0.459869493
C10orf110	-0.028434658	-0.565334621
DQX1	0.681657246	2.457208228
ANKRD53	-0.019908296	-0.52434545
CCR4	-0.320647491	-1.815529696
TSPAN32	-0.06617263	-0.72247522
TXK	0	-0.43962773
C6	-0.231388429	-1.42984031
TRHDE	0	-0.43962773
MYOZ3	-0.056535199	-0.688409656
TCEAL5	0.003666414	-0.42688646
GSDMA	-0.018901284	-0.520883709
C12orf61	0	-0.43962773
LOC649330	0.075371474	-0.125977701
CELF4	-0.01185681	-0.498132979
HOXA13	-0.023796902	-0.544402939
LPAR3	0.053375323	-0.223214032
HOXC11	0	-0.43962773
DLGAP1	0	-0.43962773
C15orf34	0	-0.43962773
ZNF541	0	-0.43962773
HOXC13	0.01376496	-0.386104339
ALOX12P2	0	-0.43962773
NGF	-0.025829405	-0.549542124
VIPR2	0	-0.43962773
MCART6	0.003721336	-0.427139376
HIST1H3H	-0.04640431	-0.642318871
FKBP1AP1	0	-0.43962773
FASLG	-0.283549017	-1.653422931
RRN3P2	0	-0.43962773
HS6ST3	0	-0.43962773
GP1BA	-0.048624033	-0.647600002
LOC100130987	0	-0.43962773
CD40LG	-0.293452075	-1.693231447
LOC613037	0	-0.43962773
LEFTY1	-0.054833985	-0.677796132
ZSCAN23	0.186692802	0.366226859
C6orf165	0.09299624	-0.038615887
PCYT1B	0	-0.43962773
FBXO15	0.017471549	-0.367738664
CCDC153	0	-0.43962773
AURKAPS1	1.110323988	4.294038775
GNMT	-0.02940385	-0.552045837
RPL13AP6	0	-0.43962773
EYA1	0	-0.43962773
CD160	-0.014331308	-0.499371743
HSN2	0	-0.43962773
PCDHGA3	0	-0.43962773
CCL11	-0.059977709	-0.696526215
MUC6	-0.022226855	-0.536227437
CLUL1	0.029283783	-0.316368271
SLC1A7	0	-0.43962773
JAKMIP3	0	-0.43962773
EMID2	-0.014738253	-0.503073954
DNASE1L2	0	-0.43962773
PCDHGA1	0	-0.43962773
GJB4	-0.058477893	-0.702869921
MYOZ1	0	-0.43962773
GLIPR1L2	0.443263762	1.456718707
RAET1G	-0.135505909	-1.034176977
SHISA3	-0.066830982	-0.724214768
TDRD6	0	-0.43962773
FAM41C	0	-0.43962773
WNT9A	0	-0.43962773
LOC723972	0.147977163	0.186228158
SCN3A	-0.038143271	-0.606521392
GREB1L	0	-0.43962773
C20orf114	-0.059358171	-0.697372681
ZNF876P	0	-0.43962773
ACTC1	-0.038018685	-0.603268974
MGC16121	0	-0.43962773
C12orf59	0.020657414	-0.351104654
EDAR	-0.058532472	-0.689489989
KLHL14	-0.103333461	-0.896979181
C14orf64	-0.023721291	-0.543000275
CADPS	0.005861477	-0.419291847
POU5F1	-0.045991468	-0.641674627
ATP2A1	0.002570138	-0.423527435
TMIE	0	-0.43962773
C8orf48	0.065269912	-0.162187279
STAC2	0	-0.43962773
C2orf65	0	-0.43962773
FBXO43	0.994711108	3.800687987
SMTNL2	-0.036886393	-0.601347737
TRPM6	0	-0.43962773
GPR1	-0.054772184	-0.681758564
PDE6G	-0.077009193	-0.766869109
CYorf15A	0.268242617	0.695950842
CASKIN1	-0.029073705	-0.56334791
ANKLE1	0	-0.43962773
DSCAML1	0.500193284	1.684608135
SORCS1	0.161166039	0.249131035
ZC3H12D	-0.167762347	-1.153490725
C4BPA	-0.225761338	-1.406950128
FIBCD1	0	-0.43962773
DAPL1	-0.039497007	-0.609567271
UGT1A9	-0.069541355	-0.738467387
CXCR2P1	-0.258201968	-1.544490504
TDRD10	-0.056780395	-0.6821359
HAND2	-0.03707379	-0.599060992
B3GNT4	0.050929924	-0.190822727
HOXD4	0	-0.43962773
GPR135	0	-0.43962773
SPNS3	-0.052777802	-0.667725918
DSCR6	0	-0.43962773
PCDHA6	0	-0.43962773
EMX2	0.002455437	-0.432372191
FAM27A	0	-0.43962773
TRIM31	-0.060268847	-0.705632516
PCDHA3	0	-0.43962773
LOC554202	-0.219162321	-1.374545872
CASC1	0.241760874	0.590060977
C6orf155	0.810018832	2.997742152
ADAM11	0	-0.43962773
FSIP1	0.163107193	0.246872558
ZIC2	0	-0.43962773
NMU	0.37792493	1.169516093
HTR7	-0.091573767	-0.840100141
C1orf95	-0.044146806	-0.640218001
FOXE1	-0.087459577	-0.821761073
ESR2	-0.022226855	-0.536227437
MIA	-0.037527989	-0.60372111
SSPO	0	-0.43962773
CD300LB	-0.14365921	-1.053390177
RIMBP2	-0.046716564	-0.640529072
HLA-J	0	-0.43962773
LYG1	-0.065418862	-0.726834049
LOC100130691	0	-0.43962773
CCDC144B	0	-0.43962773
UGT2B7	-0.128098585	-0.999259376
RPS2P32	0	-0.43962773
SLC9A3	0	-0.43962773
SCN2A	0	-0.43962773
SCN4A	-0.01279571	-0.491605334
CCDC89	-0.014562833	-0.501945387
WSCD2	0	-0.43962773
MCF2L2	0	-0.43962773
NPAS1	0	-0.43962773
SFTPB	-0.048943955	-0.655759715
UBE2Q2P1	0	-0.43962773
TRPC4	-0.024277053	-0.551747593
SHISA9	0	-0.43962773
FLJ10661	0	-0.43962773
TCHH	0	-0.43962773
GLIS1	-0.01321892	-0.496533428
IP6K3	0	-0.43962773
LOC728723	0.200005299	0.412058389
NOTUM	0	-0.43962773
NFE2	0	-0.43962773
PLP1	-0.032322353	-0.583620706
SCGB3A1	-0.039009403	-0.617788131
ACSM1	0.022353263	-0.342547234
LOC341056	0.370384115	1.135640373
CHODL	0	-0.43962773
COL28A1	-0.014738253	-0.503073954
KLB	-0.196305927	-1.272118375
GDF9	-0.025829405	-0.549542124
RIMS2	0	-0.43962773
MYOCD	-0.06397212	-0.723453767
HDC	-0.046085019	-0.640380181
DLX4	0	-0.43962773
C7orf51	0.086675053	-0.076763367
PTPN20B	0	-0.43962773
HOXA2	0	-0.43962773
LOC145837	-0.014032885	-0.500277979
CCDC151	-0.026387924	-0.548365429
C17orf55	0	-0.43962773
PDZK1P1	-0.046472133	-0.644010492
IGSF11	-0.025189779	-0.551958221
IGFALS	0.02772457	-0.322170332
CATSPERG	0	-0.43962773
PART1	-0.00959861	-0.481395445
VGF	0.151349051	0.201703536
AJAP1	0	-0.43962773
RPL13AP3	0.044110165	-0.244488126
EMR1	-0.241457172	-1.47066143
CTCFL	0	-0.43962773
RNF138P1	0	-0.43962773
PARP15	-0.200808141	-1.296380346
CPA4	-0.083543413	-0.799195309
ZNF114	0	-0.43962773
VENTX	-0.077928829	-0.768585374
KCNH1	0	-0.43962773
LOC100128292	0	-0.43962773
FLJ42289	0	-0.43962773
TMEM150B	-0.058632389	-0.692229401
TM4SF19	-0.086969607	-0.820570806
TWIST2	-0.057117873	-0.69055947
RNF112	-0.019322287	-0.522721884
ACCN3	-0.014917504	-0.506509336
ZNF221	0.219236877	0.484875859
NMUR1	-0.06168453	-0.702921164
GSDMC	-0.051119134	-0.667023132
DPF3	0	-0.43962773
HRASLS5	0	-0.43962773
FRMD5	0	-0.43962773
ALB	-0.272004002	-1.613852715
AQP7	-0.001567908	-0.458551121
GPR173	-0.009808599	-0.48698349
C10orf95	-0.003169088	-0.465479902
DBC1	0	-0.43962773
TSIX	0.231070909	0.527003608
WNK3	0	-0.43962773
CCDC39	0.06530752	-0.171554143
LOC100132215	0	-0.43962773
TLL2	0	-0.43962773
MYO15A	0	-0.43962773
POLN	0	-0.43962773
FAM180A	-0.029904208	-0.567183855
CYP27C1	-0.062614045	-0.709537328
RPS6KA6	0	-0.43962773
KIAA0319	0	-0.43962773
GPR97	-0.121484374	-0.959462913
PITX2	0	-0.43962773
LGI3	0	-0.43962773
PRPH2	0	-0.43962773
NNAT	0	-0.43962773
CYP46A1	0.058110205	-0.193297084
KLHL4	-0.023043422	-0.536576118
CD70	-0.1076696	-0.90640878
MGAT5B	0.039662021	-0.27443071
KIAA1257	0	-0.43962773
APCDD1L	-0.066103509	-0.730538418
MEGF10	0	-0.43962773
ITIH3	-0.279475812	-1.636120107
MYH7B	0	-0.43962773
GPR115	-0.106671449	-0.904064426
CUZD1	0	-0.43962773
TARP	-0.026127	-0.55333965
GLT1D1	-0.033489639	-0.581213313
DCHS2	0	-0.43962773
JAKMIP1	0	-0.43962773
GATSL1	0.265382295	0.712740762
APC2	0.076766012	-0.122664747
PSIMCT-1	0.984085973	3.730166252
CLDN8	-0.044839878	-0.640409416
GRIN2A	-0.048822454	-0.649585306
MPL	-0.046191998	-0.635247725
AMDHD1	-0.199835656	-1.296213357
PCDH10	-0.058155016	-0.694117784
SLC35F1	-0.066956681	-0.729709113
POMC	0	-0.43962773
PCP4	-0.046716564	-0.640529072
ABCA4	0	-0.43962773
HIST1H2BG	-0.037525203	-0.603640221
NAALAD2	0	-0.43962773
CRTAM	-0.308165208	-1.75658777
LOC729799	0	-0.43962773
DUSP9	0	-0.43962773
PIP5KL1	0.008167928	-0.411401462
C9orf66	0.011948609	-0.391753828
GNB3	-0.069177438	-0.753400781
IL11	-0.074556116	-0.761825904
CA14	-0.015978869	-0.514098125
CHST13	-0.213540158	-1.3606097
HCG27	0.105135796	0.001082354
TDRD5	0	-0.43962773
ZNF488	-0.064391636	-0.717525366
GPR77	0	-0.43962773
SOX11	-0.051873788	-0.662763128
LRRC4C	0.029391343	-0.314614296
SLC5A9	-0.108289159	-0.912184046
ZYG11A	0	-0.43962773
HNF4A	-0.17503418	-1.199351753
ULBP1	0	-0.43962773
ESPNL	0	-0.43962773
CEACAM21	-0.227338321	-1.41000453
ELF5	-0.019254123	-0.53063072
CD1E	-0.114626566	-0.927682395
TTBK1	-0.024754666	-0.553364583
ZBTB20	0.002106719	-0.424612998
CXCR2	-0.142907589	-1.053538503
FAM27C	0	-0.43962773
C5orf38	0	-0.43962773
BNC1	-0.140749903	-1.054225644
FOXA2	-0.130513321	-1.001718266
KRT86	0	-0.43962773
SYT2	0	-0.43962773
TMEM61	0	-0.43962773
FLRT1	-0.054154155	-0.675789546
LOC619207	0.152691315	0.203224151
LOC100233209	-0.319369365	-1.805747934
AK5	0	-0.43962773
BTC	-0.024502568	-0.547205964
CHRDL2	0	-0.43962773
PABPC5	0.119960333	0.075891453
DNAH11	0	-0.43962773
TNN	-0.01257077	-0.493743227
CYSLTR2	0.020215913	-0.353390651
ICAM5	0	-0.43962773
ZNF695	1.191977077	4.642575997
IGSF9B	0	-0.43962773
ETV2	1.178158077	4.614395273
ATP6V0D2	0.23112442	0.54814836
CAMK4	-0.054192385	-0.675538781
CD80	-0.318989044	-1.803462076
ZNF483	0.653196786	2.351515149
TMSB15A	0.02415061	-0.340991343
KLK7	0.069645978	-0.144818559
GBP6	-0.119286778	-0.965511084
TIGD3	0	-0.43962773
C3orf42	0	-0.43962773
C16orf71	-0.010496789	-0.487514766
HIST4H4	0	-0.43962773
SLC23A1	-0.046208966	-0.644674491
C6orf124	-0.008556167	-0.479504215
KCNK2	0	-0.43962773
CECR7	0	-0.43962773
SLC35F3	0	-0.43962773
ZNF257	0	-0.43962773
CD226	-0.358564327	-1.975090211
IL1RL1	-0.046148419	-0.637777308
HOXD3	0	-0.43962773
JAKMIP2	0	-0.43962773
PTPRT	0	-0.43962773
LOC158376	-0.020442209	-0.533261371
HOXC5	0	-0.43962773
FAM154B	0	-0.43962773
GLYATL1	-0.010123243	-0.493188961
C5orf49	0.057464105	-0.199465227
TTYH1	0	-0.43962773
CKMT2	-0.025498906	-0.551596954
CCDC163P	0	-0.43962773
SLC6A16	0	-0.43962773
AGBL2	0	-0.43962773
LOC134466	-0.000350376	-0.445881423
TNFSF15	0.033937344	-0.300525102
CRYGS	0.459756552	1.518289552
TMEM35	-0.08018962	-0.795839519
CTNND2	0.040370414	-0.265330812
ICAM4	-0.021146707	-0.529534935
C17orf60	-0.194761421	-1.270988431
INE1	0.413947089	1.313238625
FAM151B	0	-0.43962773
DNAH10	0	-0.43962773
LIPC	-0.180091046	-1.21354765
PKHD1	-0.035105573	-0.597152409
DOC2A	0	-0.43962773
FLJ22536	0.023320931	-0.339690703
TMEM151B	0.099907288	-0.023608498
ZFY	0.231070909	0.527003608
SPIB	-0.177222235	-1.193083539
CACNA2D3	0	-0.43962773
FAM72A	2.535120359	10.34805524
BHLHE22	-0.09422302	-0.84842389
SLC38A3	-0.126237293	-0.977786512
POTEF	0	-0.43962773
CCR10	-0.039670625	-0.608442024
TFF1	0.138964259	0.144226459
UTY	0.231070909	0.527003608
ABCA10	0	-0.43962773
TMPRSS6	-0.164154644	-1.132754557
UNC13A	0.083245764	-0.095183196
CD200R1	-0.285932344	-1.661779755
RYR3	0	-0.43962773
TACR1	0	-0.43962773
UCKL1AS	0	-0.43962773
TLR10	-0.178733754	-1.1991708
GRIN2C	-0.048822454	-0.649585306
CYP2D7P1	-0.040269684	-0.609588832
TBX21	-0.213591147	-1.349758212
XPNPEP2	-0.032569634	-0.584107163
LOC644172	0	-0.43962773
CCDC114	0	-0.43962773
USP49	0.661077517	2.381546587
LEKR1	0	-0.43962773
EREG	-0.056190315	-0.678030262
NLGN1	-0.042431662	-0.627234231
RNF182	0	-0.43962773
NUDT10	0.452526113	1.489449119
SPAG8	0.137111785	0.141661524
UNC5A	0	-0.43962773
FCRLA	-0.117800977	-0.940221264
FFAR2	0	-0.43962773
NTRK3	0.006033707	-0.423859154
TSLP	0	-0.43962773
KCND3	0	-0.43962773
SLC23A3	-0.045203722	-0.638276917
BMPER	0	-0.43962773
SPAG17	0	-0.43962773
ADRB1	-0.079877042	-0.779738124
TMEM59L	0.070091502	-0.139950293
C11orf66	0.038308525	-0.279809922
KCNT2	-0.123184364	-0.965983096
PCDHA10	0	-0.43962773
FAM162B	0.007782537	-0.409823427
PPM1N	0	-0.43962773
TNNC1	0	-0.43962773
KCND2	-0.079048892	-0.787358115
LOC100302401	0	-0.43962773
LOC143188	0	-0.43962773
CDH26	-0.006716622	-0.469054784
DHDH	0	-0.43962773
UNC5C	0.153050553	0.210436325
FAM66C	0.215686714	0.487273219
ALDH8A1	-0.163384626	-1.147166629
BCL2L14	-0.079148764	-0.786571407
C8orf46	0.083277151	-0.09046186
C9orf172	0	-0.43962773
KCNJ10	0	-0.43962773
ZNF781	0.152893589	0.197952767
CDHR5	-0.161220851	-1.139521748
PLA2G5	0	-0.43962773
C19orf26	0.020657414	-0.351104654
LMX1B	0	-0.43962773
LTK	0	-0.43962773
PCDHGA5	0	-0.43962773
EFHC2	0	-0.43962773
DLK2	-0.037329398	-0.613226094
RBM11	0	-0.43962773
XKRX	-0.019062255	-0.52242022
TRIM17	0	-0.43962773
P2RY10	-0.217959558	-1.370156167
KBTBD10	0.06541987	-0.160254578
TCN1	0	-0.43962773
FAT3	-0.054217092	-0.687825533
MS4A2	-0.06136071	-0.699624338
KCNA3	-0.264523702	-1.569616286
FLJ40330	-0.114901762	-0.933088164
PLIN1	-0.070650168	-0.742712687
C12orf53	0.041848908	-0.26690074
IKZF3	-0.142924306	-1.042914824
SLITRK4	0.030312494	-0.316441336
COL24A1	-0.083279915	-0.804528802
AQP4	0.021434002	-0.346162155
HIST1H3D	-0.037354832	-0.602733342
CCDC87	0	-0.43962773
LOC100271831	0.762413581	2.839450378
SLIT1	0	-0.43962773
TCEAL2	-0.001649384	-0.451544487
CYP2D6	-0.275330057	-1.620784372
GPR19	0.680697095	2.456461046
HIGD1B	-0.028562818	-0.571129569
AVPR1A	-0.08203961	-0.791794256
C17orf87	-0.318318936	-1.803109761
LOC90834	0.647834834	2.316406812
C4orf12	1.512738233	6.005176629
LOC645431	0.068525653	-0.147719829
SNORD116-28	0.709006836	2.589711447
RHBDL3	0	-0.43962773
PCSK1	0	-0.43962773
AOC2	-0.011301661	-0.492299742
SCARA5	0	-0.43962773
BEX1	0.081120972	-0.093004547
C15orf27	0	-0.43962773
CNTD2	0	-0.43962773
RAB33A	-0.053588531	-0.669500717
LOC400759	-0.198322696	-1.292889529
KRT6C	-0.036555935	-0.610620305
HRH2	-0.055405463	-0.677448846
SPESP1	0	-0.43962773
EME2	0.047489804	-0.234021308
ADRA1B	-0.024943625	-0.547260566
SP5	0	-0.43962773
LY6D	-0.105684974	-0.901286681
C1orf84	0.452851051	1.479595975
KCNH3	0	-0.43962773
ACSM5	0.372644553	1.14526946
GAD1	0	-0.43962773
